epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.59428,2.09574,3.8835,1.75935,0.00694,0.27014,0.01855,0.008,2.30284,3.71501,1.83383,0.000328829,0.000328829,0.000328829
2,13.8423,1.91462,2.81069,1.57587,0.40624,0.08464,0.04011,0.01754,2.29816,3.50445,1.89285,0.000655607,0.000655607,0.000655607
3,20.039,1.84498,2.43701,1.5201,0.43914,0.08288,0.05952,0.02837,2.28814,3.27064,1.90935,0.000975785,0.000975785,0.000975785
4,26.2149,1.75519,2.19209,1.43968,0.4715,0.08386,0.05597,0.02665,2.25288,3.1354,1.87889,0.0009703,0.0009703,0.0009703
5,32.2489,1.6752,2.01884,1.40029,0.33649,0.09585,0.07916,0.0397,2.24548,2.99392,1.85709,0.0009604,0.0009604,0.0009604
6,38.3185,1.59874,1.85691,1.36616,0.54512,0.11163,0.09741,0.04682,2.25355,2.9221,1.9124,0.0009505,0.0009505,0.0009505
7,44.5177,1.55655,1.78418,1.34161,0.36279,0.10346,0.08998,0.04273,2.21282,3.13446,1.80072,0.0009406,0.0009406,0.0009406
8,50.5756,1.54426,1.71933,1.32313,0.34113,0.1215,0.09071,0.04336,2.25379,3.03326,1.81411,0.0009307,0.0009307,0.0009307
9,56.5436,1.47143,1.61497,1.29039,0.40286,0.11445,0.11149,0.05551,2.18831,2.81519,1.84912,0.0009208,0.0009208,0.0009208
10,62.6705,1.46492,1.56609,1.26831,0.49097,0.11471,0.12101,0.05923,2.14214,2.74259,1.79672,0.0009109,0.0009109,0.0009109
11,68.6997,1.42689,1.50875,1.25704,0.41251,0.12206,0.11598,0.05657,2.16938,2.76932,1.81097,0.000901,0.000901,0.000901
12,74.7369,1.40338,1.46223,1.23493,0.43065,0.1252,0.1153,0.05943,2.18101,2.67282,1.81738,0.0008911,0.0008911,0.0008911
13,80.7928,1.36257,1.40022,1.22379,0.55581,0.13832,0.12419,0.05974,2.19804,2.65411,1.80629,0.0008812,0.0008812,0.0008812
14,86.8222,1.33397,1.35452,1.20779,0.36774,0.14128,0.12785,0.06116,2.17755,2.64639,1.80698,0.0008713,0.0008713,0.0008713
15,92.8565,1.3022,1.31706,1.18595,0.44442,0.13372,0.12203,0.05977,2.13937,2.71357,1.84894,0.0008614,0.0008614,0.0008614
16,98.916,1.31684,1.30674,1.18388,0.39508,0.14095,0.12785,0.06268,2.14236,2.63077,1.77902,0.0008515,0.0008515,0.0008515
17,104.905,1.28989,1.27607,1.18537,0.47077,0.13752,0.14564,0.07143,2.1425,2.58672,1.77729,0.0008416,0.0008416,0.0008416
18,110.945,1.27794,1.27691,1.17809,0.42383,0.16734,0.13977,0.07119,2.09135,2.62826,1.80226,0.0008317,0.0008317,0.0008317
19,116.989,1.26245,1.26104,1.17663,0.42786,0.14724,0.1405,0.06626,2.13173,2.53646,1.78759,0.0008218,0.0008218,0.0008218
20,122.964,1.26339,1.21734,1.16218,0.58991,0.14849,0.14746,0.07224,2.1319,2.4976,1.82127,0.0008119,0.0008119,0.0008119
21,128.981,1.23761,1.19875,1.14773,0.4108,0.15302,0.14425,0.0725,2.11691,2.49151,1.77445,0.000802,0.000802,0.000802
22,134.983,1.24258,1.20559,1.16306,0.59385,0.14639,0.1404,0.06734,2.15536,2.53658,1.81776,0.0007921,0.0007921,0.0007921
23,141.054,1.24361,1.16467,1.14731,0.48042,0.15794,0.15382,0.0741,2.10589,2.4728,1.78613,0.0007822,0.0007822,0.0007822
24,147.105,1.20038,1.13876,1.13307,0.66312,0.14453,0.15273,0.07504,2.10733,2.44558,1.76482,0.0007723,0.0007723,0.0007723
25,153.206,1.18428,1.1173,1.12737,0.44962,0.16138,0.15726,0.07644,2.11187,2.41927,1.764,0.0007624,0.0007624,0.0007624
26,159.243,1.18854,1.10839,1.12406,0.241,0.18825,0.1578,0.07675,2.11341,2.44024,1.78712,0.0007525,0.0007525,0.0007525
27,165.318,1.17105,1.10331,1.12056,0.46372,0.16146,0.1578,0.07844,2.11805,2.40199,1.75307,0.0007426,0.0007426,0.0007426
28,171.338,1.16042,1.07751,1.11475,0.4253,0.16186,0.15249,0.07309,2.0847,2.48896,1.75873,0.0007327,0.0007327,0.0007327
29,177.355,1.13295,1.03356,1.09773,0.66692,0.15451,0.16776,0.07766,2.11606,2.35866,1.76361,0.0007228,0.0007228,0.0007228
30,183.384,1.13087,1.04763,1.102,0.23916,0.18452,0.16011,0.07636,2.08574,2.41746,1.7893,0.0007129,0.0007129,0.0007129
31,189.397,1.14235,1.03335,1.09869,0.60417,0.17887,0.16782,0.08213,2.06177,2.32713,1.75216,0.000703,0.000703,0.000703
32,195.407,1.1064,1.0131,1.0856,0.42605,0.16379,0.15852,0.07717,2.07588,2.43497,1.73789,0.0006931,0.0006931,0.0006931
33,201.419,1.12661,1.03575,1.10184,0.42625,0.17258,0.1514,0.0739,2.0877,2.42399,1.70323,0.0006832,0.0006832,0.0006832
34,207.469,1.12799,1.02312,1.09496,0.47544,0.16089,0.16744,0.07682,2.11158,2.32187,1.76824,0.0006733,0.0006733,0.0006733
35,213.499,1.1094,0.99515,1.08739,0.26385,0.17063,0.16349,0.07714,2.08898,2.33636,1.74637,0.0006634,0.0006634,0.0006634
36,219.51,1.09632,0.99413,1.08128,0.27458,0.17466,0.16621,0.08205,2.06818,2.32919,1.75661,0.0006535,0.0006535,0.0006535
